index,Title,Year,Length,Subject,Popularity
0,Tie Me Up! Tie Me Down!,1990,111,Comedy,68
1,High Heels,1991,113,Comedy,68
2,"Dead Zone, The",1983,104,Horror,79
3,Cuba,1979,122,Action,6
4,Days of Heaven,1978,94,Drama,14
5,Octopussy,1983,140,Action,68
6,Target Eagle,1984,101,Action,14
7,Subway,1985,104,Drama,6
8,Camille Claudel,1990,149,Drama,32
9,Fanny and Alexander,1982,188,Drama,81
10,Tragedy of a Ridiculous Man,1982,117,Drama,17
11,A Man & a Woman,1966,103,Drama,46
12,A Man & a Woman: Twenty Years Later,1986,112,Drama,49
13,Un Hombre y una Mujer,1966,103,Drama,6
14,"Official Story, The",1985,112,Drama,39
15,"Lindbergh Kidnapping Case, The",1976,150,Drama,51
16,Blackmail,1929,84,Mystery,2
17,Donovan's Reef,1963,109,Comedy,62
18,Tucker: The Man & His Dream,1988,110,Drama,68
19,Scrooged,1988,101,Comedy,15
20,Raiders of the Lost Ark,1981,116,Action,8
21,"Running Man, The",1987,101,Science Fiction,31
22,Predator 2,1991,105,Action,79
23,Colors,1988,127,Drama,23
24,Zandalee,1990,97,Drama,80
25,Miles from Home,1988,108,Drama,53
26,Happy Birthday to Me,1980,,Horror,88
27,Final Notice,1989,88,Mystery,88
28,Quintet,1979,110,Drama,19
29,"Devil's Eye, The",1960,90,Drama,20
30,Wild Strawberries,1957,91,Drama,42
31,"Seventh Seal, The",1956,96,Drama,62
32,Germicide,1992,90,Drama,36
33,Dreams,1955,86,Drama,14
34,"Naked Night, The",1955,95,Drama,38
35,Through a Glass Darkly,1962,91,Drama,64
36,Cries & Whispers,1972,91,Drama,18
37,"Barbarian & the Geisha, The",1958,104,Action,52
38,Casino Royale,1967,130,Comedy,11
39,Dr. No,1962,,Action,7
40,Elephant Walk,1954,103,Drama,11
41,Ten,1979,121,Comedy,60
42,"Man Who Loved Women, The",1983,118,Comedy,67
43,Hawaii,1966,190,Drama,8
44,Torn Curtain,1966,125,Mystery,35
45,Duet for One,1986,107,Drama,82
46,"Sound of Music, The",1965,172,Music,59
47,Gonzo Presents Muppet Weird Stuff,1985,55,Comedy,88
48,Tartuffe,1984,140,Comedy,67
49,A New Life,1988,104,Comedy,53
50,Magic,1978,106,Mystery,85
51,Tommy,1992,286,Music,5
52,"Big Fix, The",1978,108,Mystery,19
53,Alan & Naomi,1992,95,Drama,3
54,Fatal Attraction,1987,120,Mystery,61
55,Patriot Games,1992,117,Action,28
56,"Woman Next Door, The",1981,106,Drama,82
57,Hunting,1992,97,Mystery,68
58,Bataan,1991,115,War,68
59,"Siegfried, The Nibelungenlied",1924,110,Drama,79
60,"Henry, Portrait of a Serial Killer",1991,90,Horror,69
61,"Big Blue, The",1988,118,Drama,7
62,Flight of the Intruder,1991,115,Drama,51
63,Nobody's Fool,1986,108,Comedy,52
64,After Hours,1985,97,Comedy,81
65,Desperately Seeking Susan,1985,104,Comedy,41
66,A New Leaf,1971,102,Comedy,83
67,Killers of Kilimanjaro,1959,91,Action,11
68,Don Juan,1926,126,Action,55
69,Babette's Feast,1987,102,Drama,79
70,"Vincent, Francois, Paul & the Others",1989,118,Drama,20
71,Thunderball,1988,141,Action,8
72,Lodger (Story of the London Fog),1926,66,Mystery,76
73,Appointment with Death,1988,103,Mystery,75
74,Murder on the Orient Express,1974,128,Mystery,8
75,Blood Alley,1955,115,War,15
76,"Spy Who Loved Me, The",1977,136,Action,27
77,Storm,1988,100,Action,61
78,Bloodbath,1991,89,Horror,37
79,Miami Cops,1989,103,Action,40
80,"Island of Dr. Moreau, The",1996,96,Horror,39
81,Eighty-Four Charing Cross Road,1992,100,Drama,9
82,"Elephant Man, The",1980,124,Drama,3
83,Dr Alien,1988,90,Science Fiction,70
84,Creepshow,1982,120,Horror,70
85,Sammy & Rosie Get Laid,1987,100,Drama,6
86,"Goalie's Anxiety at the Penalty Kick, The",1971,101,Drama,62
87,Mademoiselle Striptease,1957,99,Comedy,25
88,"Women, The",1969,86,Drama,66
89,That Naughty Girl,1958,77,Comedy,37
90,Voulez-Vous Danser Avec Moi?,1959,90,Comedy,16
91,"A Coeur Joie, (Head Over Heels)",1967,100,Action,54
92,Shalako,1968,113,Westerns,0
93,Contempt,1964,102,Drama,81
94,Dear Brigitte,1965,100,Comedy,71
95,A Very Private Affair,1962,134,Drama,30
96,"Ravishing Idiot, The",1964,99,Comedy,34
97,"Bride Is Much Too Beautiful, The",1958,90,Comedy,70
98,Doctor at Sea,1955,90,Comedy,83
99,"Le Repos Du Guerrier, (Warrior's Rest)",1962,100,War,8
100,And God Created Woman,1957,90,Drama,29
101,Ms. Don Juan,1973,87,Drama,39
102,Siesta,1987,97,Drama,48
103,Rich & Strange,1932,92,Drama,57
104,Lionheart,1987,104,Action,9
105,E. T. The Extra-Terrestrial,1982,115,Science Fiction,8
106,Cool World,1992,101,Drama,44
107,Nadine,1988,83,Comedy,47
108,Batman,1989,126,Action,14
109,Blind Date,1987,95,Comedy,7
110,Mother Lode,1982,101,Action,40
111,Final Analysis,1992,125,Drama,50
112,Never Say Never Again,1983,134,Action,8
113,Nine & a Half Weeks,1986,117,Drama,7
114,Killjoy,1989,,Mystery,71
115,No Mercy,1986,108,Drama,11
116,"Marrying Man, The",1991,116,Comedy,84
117,Misery,1990,123,Horror,48
118,Crisis,1946,93,Drama,66
119,Samson & Delilah,1984,95,Drama,36
120,Act of Piracy,1990,101,Mystery,74
121,Split Decisions,1988,96,Drama,52
122,Vampire's Kiss,1989,103,Comedy,49
123,Nightmare at Noon,1988,96,Action,0
124,Presumed Innocent,1990,127,Mystery,69
125,Reap the Wild Wind,1942,123,Drama,59
126,Pocket Money,1972,100,Comedy,55
127,Mary White,1977,102,Drama,2
128,"Catch a Rising Star, Tenth Anniversary",1982,,Comedy,18
